employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
100,Steven,King,SKING,515.123.4567,2003-06-17,AD_PRES,24000,,9
101,Neena,Kochhar,NKOCHHAR,515.123.4568,2005-09-21,AD_VP,17000,100,9
102,Lex,De Haan,LDEHAAN,515.123.4569,2001-01-13,AD_VP,17000,100,9
103,Alexander,Hunold,AHUNOLD,590.423.4567,2006-01-03,IT_PROG,9000,102,6
104,Bruce,Ernst,BERNST,590.423.4568,2007-05-21,IT_PROG,6000,103,6
108,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17,FI_MGR,12008,101,10
109,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16,FI_ACCOUNT,9000,108,10
110,John,Chen,JCHEN,515.124.4269,2005-09-28,FI_ACCOUNT,8200,108,10
111,Ismael,Sciarra,ISCIARRA,515.124.4369,2005-09-30,FI_ACCOUNT,7700,108,10
112,Jose Manuel,Urman,JURMAN,515.124.4469,2006-03-07,FI_ACCOUNT,7800,108,10
113,Luis,Popp,LPOPP,515.124.4567,2007-12-07,FI_ACCOUNT,6900,108,10
